bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
70331338,specimen,9766,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-07-08T01:00Z,1956,,Ramalina farinacea (L.) Ach.,Ramalina farinacea,Ramalina farinacea,,NULL,190868,190868,,46.67499924,-123.6650009,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96169842,specimen,9366,,Joneson,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),2001-06-24T02:00Z,2001,,Ramalina farinacea (L.) Ach.,Ramalina farinacea,Ramalina farinacea,,NULL,190868,190868,,46.26028061,-123.9175034,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96287309,specimen,CANL 115828,,"Sharnoff, Sylvia D.; Sharnoff, Steve",31,Canadian Museum of Nature,"31,123",Canadian Museum of Nature Herbarium,1993-10-05T01:00Z,1993,,Cladonia squamosa var. subsquamosa (Nyl. ex Leight.) Vain.,Cladonia squamosa subsquamosa,Cladonia squamosa subsquamosa,,NULL,189970,189970,,46.46699905,-123.8669968,,,,,,,,53049,Pacific Co.,Pacific County,Washington,Washington,,,,US,http://www.nature.ca,http://nature.ca/en/research-collections/our-collections,,,,,CC_BY_4_0
96300288,observation,2786524,,mbalame99,407,iNaturalist.org,"407,202,485",iNaturalist Research-grade Observations,2016-03-15T08:58Z,2016,3/15/16 7:58,Lobaria (Schreb.) Hoffm.,Lobaria,Lobaria,,NULL,191256,191256,,46.24898911,-123.8615112,,,45,,,,,53049,,Pacific County,,Washington,,,,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
95956853,specimen,9523,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1954-10-04T01:00Z,1954,,Usnea capillaris Motyka,Usnea capillaris,Usnea capillaris,,NULL,190775,190775,,46.35425949,-123.9609528,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
95968248,specimen,8909,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1958-07-08T01:00Z,1958,,Pertusaria amara (Ach.) Nyl.,Pertusaria amara,Pertusaria amara,,NULL,191538,191538,,46.31499863,-123.9566727,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
95968249,specimen,7482,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1958-07-08T01:00Z,1958,,"Hypogymnia physodes (L.) Nyl., 1896",Hypogymnia physodes,Hypogymnia physodes,,NULL,190682,190682,,46.31499863,-123.9566727,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
95996000,specimen,L41866,10441,Curtis Björk,412,University of British Columbia,"412,202,451",University of British Columbia Herbarium (UBC) - Lichen Collection,2004-11-20T01:00Z,2004,2004 Nov 20,Hypogymnia imshaugii Krog,Hypogymnia imshaugii,Hypogymnia imshaugii,,,190674,190674,,46.40000153,-123.9499969,,,,,,,,53049,,Pacific County,Washington,Washington,,,,US,http://www.ubc.ca/%20,http://www.beatymuseum.ubc.ca/herbarium-fungi-lichens,,,,,CC0_1_0
96008639,specimen,7473,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1958-07-08T01:00Z,1958,,Parmelia saxatilis (L.) Ach.,Parmelia saxatilis,Parmelia saxatilis,,NULL,14010,14010,,46.36392975,-123.9492188,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
96008641,specimen,7614,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1958-07-08T01:00Z,1958,,Menegazzia terebrata (Hoffm.) A. Massal.,Menegazzia terebrata,Menegazzia terebrata,,NULL,190704,190704,,46.36392975,-123.9492188,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
